"","MN","VS","EA","ID","KI01","KI02"
"MN",1,-0.003,0.036,0.155,0.061,0.233
"VS",-0.003,1,0.095,-0.009,-0.021,0.118
"EA",0.036,0.095,1,-0.06,0.247,0.211
"ID",0.155,-0.009,-0.06,1,0.06,0.002
"KI01",0.061,-0.021,0.247,0.06,1,-0.013
"KI02",0.233,0.118,0.211,0.002,-0.013,1
