"","MN","VS","EA","ID","KI01","KI02"
"MN",0,0.9702,0.6791,0.0776,0.4912,0.0074
"VS",0.9702,0,0.2824,0.9156,0.8148,0.1796
"EA",0.6791,0.2824,0,0.499,0.0044,0.0157
"ID",0.0776,0.9156,0.499,0,0.4936,0.9792
"KI01",0.4912,0.8148,0.0044,0.4936,0,0.8837
"KI02",0.0074,0.1796,0.0157,0.9792,0.8837,0
