"","SE01","SE02","SE03","SE04","SO01","SO02"
"MN",-0.011,-0.066,0.016,0.02,-0.043,0.024
"VS",0.024,0.041,-0.023,0.039,-0.085,0.009
"EA",-0.016,0,-0.002,-0.12,0.059,0.041
"ID",0.141,0.086,0.058,0.078,-0.168,0.131
